OBJECTID,BdType,BdVal,PctNum,BdName,DistrictFullName
377,P,0620,620,PARKRIDGE,Parkridge Voting Precinct
378,P,0050,50,BANFF,Banff Voting Precinct
379,P,0779,779,SPANISH GARDEN,Spanish Garden Voting Precinct
380,P,0786,786,ST MORITZ,St Moritz Voting Precinct
381,P,0844,844,TOWNLEY,Townley Voting Precinct
382,P,0747,747,SHALIMAR,Shalimar Voting Precinct
383,P,0255,255,EL MIRAGE,El Mirage Voting Precinct
384,P,0636,636,PERRYVILLE,Perryville Voting Precinct
385,P,0932,932,YUCCA,Yucca Voting Precinct
386,P,0272,272,EUCLID,Euclid Voting Precinct
387,P,0538,538,MOUNTAIN VISTA,Mountain Vista Voting Precinct
388,P,0800,800,SUN LAKES COUNTRY CLUB,Sun Lakes Country Club Voting Precinct
389,P,0178,178,COYOTE BASIN,Coyote Basin Voting Precinct
390,P,0722,722,SAN MARCOS,San Marcos Voting Precinct
391,P,0448,448,LIBBY,Libby Voting Precinct
392,P,0169,169,CORTESSA,Cortessa Voting Precinct
393,P,0247,247,DYSART,Dysart Voting Precinct
394,P,0410,410,JUNE,June Voting Precinct
395,P,0891,891,WEST PLAZA,West Plaza Voting Precinct
396,P,0877,877,VISTA,Vista Voting Precinct
397,P,0602,602,PALM GARDENS,Palm Gardens Voting Precinct
398,P,0913,913,WILDER,Wilder Voting Precinct
399,P,0494,494,MARLEY PARK,Marley Park Voting Precinct
400,P,0921,921,WINDMERE,Windmere Voting Precinct
401,P,0850,850,TREVOR BROWNE,Trevor Browne Voting Precinct
402,P,0607,607,PALMBROOK,Palmbrook Voting Precinct
403,P,0596,596,OSUNA PARK,Osuna Park Voting Precinct
404,P,0901,901,WESTWOOD,Westwood Voting Precinct
405,P,0058,58,BETHANY PARK,Bethany Park Voting Precinct
406,P,0130,130,CIELO GRANDE,Cielo Grande Voting Precinct
407,P,0020,20,ANDERSON,Anderson Voting Precinct
408,P,0389,389,HUBBELL,Hubbell Voting Precinct
409,P,0535,535,MORRISTOWN,Morristown Voting Precinct
410,P,0871,871,VETERANS OASIS,Veterans Oasis Voting Precinct
411,P,0423,423,KODIAK,Kodiak Voting Precinct
412,P,0278,278,FALCON,Falcon Voting Precinct
413,P,0826,826,TARO,Taro Voting Precinct
414,P,0209,209,DESERT EDGE,Desert Edge Voting Precinct
415,P,0882,882,WADDELL,Waddell Voting Precinct
416,P,0497,497,MARYVALE,Maryvale Voting Precinct
417,P,0542,542,MUSKET,Musket Voting Precinct
418,P,0305,305,GAVILAN PEAK,Gavilan Peak Voting Precinct
419,P,0444,444,LEGACY,Legacy Voting Precinct
420,P,0471,471,LOWELL,Lowell Voting Precinct
421,P,0470,470,LOS OLIVOS,Los Olivos Voting Precinct
422,P,0710,710,ROVEY,Rovey Voting Precinct
423,P,0777,777,SOUTH MTN PARK SW,South Mtn Park Sw Voting Precinct
424,P,0894,894,WESTAR,Westar Voting Precinct
425,P,0245,245,DWIGHT,Dwight Voting Precinct
426,P,0061,61,BISCUIT FLAT,Biscuit Flat Voting Precinct
427,P,0166,166,CORONA,Corona Voting Precinct
428,P,0631,631,PENA,Pena Voting Precinct
429,P,0603,603,PALM HARBOR,Palm Harbor Voting Precinct
430,P,0037,37,ASHLAND RANCH,Ashland Ranch Voting Precinct
431,P,0059,59,BETHUNE,Bethune Voting Precinct
432,P,0206,206,DESERT BELL,Desert Bell Voting Precinct
433,P,0144,144,COCOPAH,Cocopah Voting Precinct
434,P,0016,16,ALSUP,Alsup Voting Precinct
435,P,0357,357,HASTINGS,Hastings Voting Precinct
436,P,0279,279,FALCON HILL,Falcon Hill Voting Precinct
437,P,0115,115,CAVE BUTTES,Cave Buttes Voting Precinct
438,P,0685,685,RHODES,Rhodes Voting Precinct
439,P,0068,68,BLUE SKY,Blue Sky Voting Precinct
440,P,0489,489,MARICOPA MOUNTAINS,Maricopa Mountains Voting Precinct
441,P,0025,25,APACHE PARK,Apache Park Voting Precinct
442,P,0229,229,DOBSON PARK,Dobson Park Voting Precinct
443,P,0462,462,LONE TREE,Lone Tree Voting Precinct
444,P,0811,811,SUNNY HIGH,Sunny High Voting Precinct
445,P,0443,443,LAYTON LAKES,Layton Lakes Voting Precinct
446,P,0568,568,NVP 21,Nvp 21 Voting Precinct
447,P,0065,65,BLACKHAWK,Blackhawk Voting Precinct
448,P,0197,197,DANYELL,Danyell Voting Precinct
449,P,0887,887,WATSON,Watson Voting Precinct
450,P,0840,840,TONTO,Tonto Voting Precinct
451,P,0691,691,RIO SALADO,Rio Salado Voting Precinct
452,P,0727,727,SAN SIMON,San Simon Voting Precinct
453,P,0513,513,MESQUITE,Mesquite Voting Precinct
454,P,0634,634,PEPPERWOOD,Pepperwood Voting Precinct
455,P,0290,290,FOUR PEAKS,Four Peaks Voting Precinct
456,P,0569,569,NVP 22,Nvp 22 Voting Precinct
457,P,0236,236,DREAMLAND VILLA,Dreamland Villa Voting Precinct
458,P,0781,781,SPRINGS,Springs Voting Precinct
459,P,0892,892,WEST POINT,West Point Voting Precinct
460,P,0204,204,DEL RIO,Del Rio Voting Precinct
461,P,0171,171,CORTINA,Cortina Voting Precinct
462,P,0019,19,AMBER,Amber Voting Precinct
463,P,0547,547,NEW RIVER,New River Voting Precinct
464,P,0090,90,CAIRO,Cairo Voting Precinct
465,P,0917,917,WILLIS,Willis Voting Precinct
466,P,0613,613,PALOMINO,Palomino Voting Precinct
467,P,0830,830,TESSERA,Tessera Voting Precinct
468,P,0864,864,VAN BUREN,Van Buren Voting Precinct
469,P,0256,256,ELLIS,Ellis Voting Precinct
470,P,0117,117,CELAYA,Celaya Voting Precinct
471,P,0441,441,LAVEEN,Laveen Voting Precinct
472,P,0524,524,MOBILE,Mobile Voting Precinct
473,P,0888,888,WEINBERG,Weinberg Voting Precinct
474,P,0212,212,DESERT HIGHLANDS,Desert Highlands Voting Precinct
475,P,0346,346,HALIFAX,Halifax Voting Precinct
476,P,0224,224,DESSIE,Dessie Voting Precinct
477,P,0589,589,OPTIMIST,Optimist Voting Precinct
478,P,0074,74,BONSALL PARK,Bonsall Park Voting Precinct
479,P,0633,633,PEORIA HEIGHTS,Peoria Heights Voting Precinct
480,P,0638,638,PICADILLY,Picadilly Voting Precinct
481,P,0014,14,ALMA,Alma Voting Precinct
482,P,0131,131,CINCO,Cinco Voting Precinct
483,P,0764,764,SKY VIEW,Sky View Voting Precinct
484,P,0452,452,LINDNER,Lindner Voting Precinct
485,P,0325,325,GOLDEN HILLS,Golden Hills Voting Precinct
486,P,0170,170,CORTEZ,Cortez Voting Precinct
487,P,0695,695,RIVERVIEW,Riverview Voting Precinct
488,P,0194,194,DALE,Dale Voting Precinct
489,P,0809,809,SUNLAND,Sunland Voting Precinct
490,P,0096,96,CAMEO,Cameo Voting Precinct
